Name,Login,Method,URL,Body,Headers,Response JSON,Response Status
,devuser,POST,https://localhost:8000/workflow/4/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
nf_cloud_backend.tests.cases.test_workflow.AddWorkflowShareTest.test_result,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,POST,https://localhost:8000/workflow/3/share/add?write=true,[2],"Headers({'host': 'localhost:8000', 'content-length': '3', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})",,200
,devadmin,GET,https://localhost:8000/workflow/3,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})","{'name': 'read-shared', 'owner_id': 1, 'description': '', 'definition': {}, 'is_published': False, 'read_shared': [], 'write_shared': [2]}",200
nf_cloud_backend.tests.cases.test_workflow.CreateWorkflowTest.test_permissions_admin,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,POST,https://localhost:8000/workflow/new,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})",6,200
nf_cloud_backend.tests.cases.test_workflow.CreateWorkflowTest.test_permissions_default,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/new,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",6,200
nf_cloud_backend.tests.cases.test_workflow.CreateWorkflowTest.test_permissions_unauthenticated,,,,,,,
,,POST,https://localhost:8000/workflow/new,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json'})",{'detail': 'Unauthorized'},401
nf_cloud_backend.tests.cases.test_workflow.CreateWorkflowTest.test_result,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/new,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",6,200
,devuser,GET,https://localhost:8000/workflow/6,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})","{'name': 'some name', 'owner_id': 2, 'description': 'some description', 'definition': {}, 'is_published': True, 'read_shared': [], 'write_shared': []}",200
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_admin,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,POST,https://localhost:8000/workflow/1/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})",,200
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_owned,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/1/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_private,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/2/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User must be admin or owner of this workflow to perform operation'},403
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_read_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/3/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User must be admin or owner of this workflow to perform operation'},403
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_unauthenticated,,,,,,,
,,POST,https://localhost:8000/workflow/1/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0'})",{'detail': 'Unauthorized'},401
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_permissions_write_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/4/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User must be admin or owner of this workflow to perform operation'},403
nf_cloud_backend.tests.cases.test_workflow.DeleteWorkflowTest.test_result,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/1/delete,,"Headers({'host': 'localhost:8000', 'content-length': '0', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
,devuser,GET,https://localhost:8000/workflow/1,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'Workflow not found'},422
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_admin,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,POST,https://localhost:8000/workflow/1/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})",,200
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_owned,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/1/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_private,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/2/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User not permitted write access to this workflow'},403
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_read_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/3/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",{'detail': 'User not permitted write access to this workflow'},403
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_unauthenticated,,,,,,,
,,POST,https://localhost:8000/workflow/1/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json'})",{'detail': 'Unauthorized'},401
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_permissions_write_access,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/4/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
nf_cloud_backend.tests.cases.test_workflow.EditWorkflowTest.test_result,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,POST,https://localhost:8000/workflow/4/edit,"{""name"": ""some name"", ""description"": ""some description"", ""definition"": {}, ""is_published"": true}","Headers({'host': 'localhost:8000', 'content-length': '96', 'content-type': 'application/json', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})",,200
,devuser,GET,https://localhost:8000/workflow/4,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})","{'name': 'some name', 'owner_id': 1, 'description': 'some description', 'definition': {}, 'is_published': True, 'read_shared': [], 'write_shared': [2]}",200
nf_cloud_backend.tests.cases.test_workflow.ListWorkflowsTest.test_permissions_admin,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devadmin"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '49', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'},200
,devadmin,GET,https://localhost:8000/workflow,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJleHBpcmVzX2F0IjozNjAwfQ.Qj9GnwdveHiHltqqbTEhIQuWvrKRbah0qtASEYi_7kw'})","[1, 2, 3, 4, 5]",200
nf_cloud_backend.tests.cases.test_workflow.ListWorkflowsTest.test_permissions_default,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
,devuser,GET,https://localhost:8000/workflow,,"Headers({'host': 'localhost:8000', 'x-token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'})","[1, 3, 4, 5]",200
nf_cloud_backend.tests.cases.test_workflow.ListWorkflowsTest.test_permissions_unauthenticated,,,,,,,
,,GET,https://localhost:8000/workflow,,Headers({'host': 'localhost:8000'}),{'detail': 'Unauthorized'},401
nf_cloud_backend.tests.cases.test_workflow.ListWorkflowsTest.test_result,,,,,,,
,,POST,https://localhost:8000/users/login/file/dev,"{""login_id"": ""devuser"", ""password"": ""developer""}","Headers({'host': 'localhost:8000', 'content-length': '48', 'content-type': 'application/json'})",{'jwt': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJleHBpcmVzX2F0IjozNjAwfQ.XmGl6UxrVVq9MJ2B2sbQJ8bn_v5OgD_BYUpd7HGRYTQ'},200
